Film Debut,Original Voice
Snow White and the Seven Dwarfs,Adriana Caselotti
Cinderella,Ilene Woods
Sleeping Beauty,Mary Costa
The Little Mermaid,Jodi Benson
Beauty and the Beast,Paige O'Hara
Aladdin,Speaking: Linda LarkinSinging: Lea Salonga
Pocahontas,Speaking: Irene BedardSinging: Judy Kuhn
Mulan,Speaking: Ming-Na WenSinging: Lea Salonga
The Princess and the Frog,Anika Noni Rose
Tangled,Mandy Moore
Brave,Kelly Macdonald
Moana,Auli'i Cravalho
Raya and the Last Dragon,Kelly Marie Tran
